_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
510,7347,DW514KF,14309,143,51.1258201599121,16.9784259796143,2024-12-09 17:08:16.680000
511,7348,DW516KF,12203,,51.097038269043,17.0374031066895,2024-12-08 12:58:18.610000
512,7349,DW517KF,13107,131,51.1414184570312,17.0895690917969,2024-12-09 17:08:08.717000
513,7350,DW518KF,31512,,51.1125221252441,17.0575981140137,2024-12-09 17:07:46.757000
514,7351,DW519KF,12701,,51.1445007324219,16.9484405517578,2024-12-09 17:08:08.613000
515,7352,DW704KF,12707,,51.0593719482422,17.0109386444092,2024-12-09 17:07:49.633000
516,7353,DW705KF,13412,124,51.0995140075684,17.0013217926025,2024-12-08 12:58:31.620000
517,7354,DW706KF,12206,,51.114574432373,17.0174674987793,2024-12-09 17:08:08.733000
518,7355,DW708KF,10309,103,51.1747016906738,16.9067230224609,2024-12-08 12:58:37.557000
519,7356,DW709KF,A10,A,6844.01513671875,5102.69921875,2024-12-09 17:08:08.927000
520,7357,DW710KF,14902,,51.1486587524414,17.0222434997559,2024-12-08 08:15:26.583000
521,7400,None,10001,,51.1481552124023,17.0230255126953,2022-09-25 04:40:37.697000
522,7401,None,11804,118,51.164119720459,16.971622467041,2024-12-09 17:08:05.957000
523,7402,None,12611,126,51.0820121765137,17.0016632080078,2024-12-09 17:08:08.833000
524,7403,None,14316,143,51.0951881408691,16.9790191650391,2024-12-09 17:08:14.637000
525,7404,None,12614,126,51.137092590332,16.9659042358398,2024-12-09 17:08:11.527000
526,7405,None,12609,126,51.1360969543457,16.9790592193604,2024-12-09 17:08:05.873000
527,7406,None,14305,143,51.1759605407715,16.998083114624,2024-12-09 17:08:16.680000
528,7407,None,12712,127,51.1056175231934,17.0149059295654,2024-12-09 17:08:05.827000
529,7408,None,12608,126,51.0956916809082,16.9776496887207,2024-12-09 17:08:11.527000
530,7409,None,12606,126,51.0909461975098,17.0155410766602,2024-12-09 17:08:14.610000
531,7410,None,12514,125,51.0882148742676,16.9758758544922,2024-12-09 17:08:11.717000
532,7411,None,14507,145,51.1140594482422,17.1036891937256,2024-12-09 17:08:16.920000
533,7412,None,10401,,51.1486053466797,17.0219058990479,2024-12-05 07:57:13.677000
534,7413,None,,,51.1484565734863,17.0219459533691,2024-12-09 13:46:59.767000
535,7414,None,12914,129,51.1386070251465,17.0338973999023,2024-12-09 17:08:16.810000
